row_idx,candidate_shard,human_label,agent_said_used_it
182,projection_math,unclear,yes
183,wcs_transform,unclear,yes
184,bounds_check,unclear,no
185,coordinate_frame,unclear,no
186,projection_math,unclear,yes
187,wcs_transform,unclear,no
188,bounds_check,unclear,no
189,coordinate_frame,unclear,yes
190,projection_math,unclear,yes
191,wcs_transform,unclear,no
192,bounds_check,unclear,no
193,coordinate_frame,unclear,yes
194,projection_math,unclear,yes
195,wcs_transform,unclear,yes
196,bounds_check,unclear,no
197,coordinate_frame,unclear,no
198,projection_math,unclear,yes
199,wcs_transform,unclear,yes
200,conversion_graph,yes,yes
201,equivalency_map,no,no
202,quantity_repr,no,no
203,unit_registry,no,no
204,conversion_graph,no,no
205,equivalency_map,no,no
206,quantity_repr,no,no
207,unit_registry,yes,yes
208,conversion_graph,no,no
209,equivalency_map,yes,yes
210,quantity_repr,no,no
211,unit_registry,no,no
212,conversion_graph,unclear,no
213,equivalency_map,unclear,no
214,quantity_repr,unclear,no
215,unit_registry,unclear,yes
216,conversion_graph,no,yes
217,equivalency_map,no,no
218,quantity_repr,no,no
219,unit_registry,yes,yes
220,conversion_graph,yes,yes
221,equivalency_map,yes,yes
222,quantity_repr,no,no
223,unit_registry,no,no
224,conversion_graph,yes,no
225,equivalency_map,yes,yes
226,quantity_repr,yes,no
227,unit_registry,no,no
228,conversion_graph,unclear,no
229,equivalency_map,unclear,yes
230,quantity_repr,unclear,no
231,unit_registry,unclear,no
232,conversion_graph,yes,yes
233,equivalency_map,no,no
234,quantity_repr,no,no
235,unit_registry,no,yes
236,conversion_graph,unclear,yes
237,equivalency_map,unclear,yes
238,quantity_repr,unclear,no
239,unit_registry,unclear,yes
240,assumption_system,no,no
241,simplification,yes,yes
242,solution_filter,yes,yes
243,solve_engine,no,no
244,assumption_system,unclear,yes
245,simplification,unclear,no
246,solution_filter,unclear,yes
247,solve_engine,unclear,yes
248,assumption_system,unclear,yes
249,simplification,unclear,no
250,solution_filter,unclear,yes
251,solve_engine,unclear,yes
252,assumption_system,unclear,yes
253,simplification,unclear,yes
254,solution_filter,unclear,yes
255,solve_engine,unclear,yes
256,assumption_system,unclear,yes
257,simplification,unclear,yes
258,solution_filter,unclear,no
259,solve_engine,unclear,yes
260,assumption_system,unclear,yes
261,simplification,unclear,no
262,solution_filter,unclear,no
263,solve_engine,unclear,yes
264,assumption_system,no,no
265,simplification,yes,yes
266,solution_filter,no,no
267,solve_engine,no,no
268,assumption_system,unclear,yes
269,simplification,unclear,no
270,solution_filter,unclear,no
271,solve_engine,unclear,no
272,assumption_system,unclear,yes
273,simplification,unclear,no
274,solution_filter,unclear,no
275,solve_engine,unclear,yes
276,assumption_system,unclear,yes
277,simplification,unclear,no
278,solution_filter,unclear,yes
279,solve_engine,unclear,yes
280,eigenvalue_solver,unclear,no
281,matrix_engine,unclear,yes
282,rational_arithmetic,unclear,no
283,sparse_repr,unclear,yes
284,eigenvalue_solver,unclear,yes
285,matrix_engine,unclear,yes
286,rational_arithmetic,unclear,no
287,sparse_repr,unclear,no
288,eigenvalue_solver,no,yes
289,matrix_engine,yes,yes
290,rational_arithmetic,no,yes
291,sparse_repr,no,yes
292,eigenvalue_solver,unclear,yes
293,matrix_engine,unclear,yes
294,rational_arithmetic,unclear,no
295,sparse_repr,unclear,yes
296,eigenvalue_solver,unclear,yes
297,matrix_engine,unclear,yes
298,rational_arithmetic,unclear,yes
299,sparse_repr,unclear,yes
300,eigenvalue_solver,unclear,yes
301,matrix_engine,unclear,yes
302,rational_arithmetic,unclear,no
303,sparse_repr,unclear,no
304,eigenvalue_solver,unclear,yes
305,matrix_engine,unclear,yes
306,rational_arithmetic,unclear,yes
307,sparse_repr,unclear,yes
308,eigenvalue_solver,unclear,no
309,matrix_engine,unclear,yes
310,rational_arithmetic,unclear,yes
311,sparse_repr,unclear,yes
312,eigenvalue_solver,yes,yes
313,matrix_engine,no,yes
314,rational_arithmetic,no,yes
315,sparse_repr,no,yes
316,eigenvalue_solver,unclear,yes
317,matrix_engine,unclear,yes
318,rational_arithmetic,unclear,yes
319,sparse_repr,unclear,yes
320,auth_handler,yes,yes
321,header_policy,no,no
322,redirect_logic,no,no
323,session_state,yes,yes
324,auth_handler,unclear,no
325,header_policy,unclear,yes
326,redirect_logic,unclear,no
327,session_state,unclear,no
328,auth_handler,unclear,yes
329,header_policy,unclear,yes
330,redirect_logic,unclear,yes
331,session_state,unclear,yes
332,auth_handler,unclear,yes
333,header_policy,unclear,no
334,redirect_logic,unclear,yes
335,session_state,unclear,yes
336,auth_handler,unclear,yes
337,header_policy,unclear,no
338,redirect_logic,unclear,no
339,session_state,unclear,yes
340,auth_handler,unclear,no
341,header_policy,unclear,no
342,redirect_logic,unclear,no
343,session_state,unclear,yes
344,auth_handler,no,no
345,header_policy,no,no
346,redirect_logic,yes,yes
347,session_state,yes,yes
348,auth_handler,unclear,no
349,header_policy,unclear,yes
350,redirect_logic,unclear,yes
351,session_state,unclear,no
352,auth_handler,unclear,yes
353,header_policy,unclear,no
354,redirect_logic,unclear,no
355,session_state,unclear,no
356,auth_handler,no,no
357,header_policy,yes,yes
358,redirect_logic,no,no
359,session_state,no,no
360,clone_logic,no,yes
361,estimator_api,no,yes
362,param_inspector,no,yes
363,validation_utils,yes,yes
364,clone_logic,unclear,yes
365,estimator_api,unclear,yes
366,param_inspector,unclear,yes
367,validation_utils,unclear,yes
368,clone_logic,unclear,yes
369,estimator_api,unclear,yes
370,param_inspector,unclear,no
371,validation_utils,unclear,no
372,clone_logic,unclear,no
373,estimator_api,unclear,yes
374,param_inspector,unclear,no
375,validation_utils,unclear,no
376,clone_logic,unclear,yes
377,estimator_api,unclear,yes
378,param_inspector,unclear,no
379,validation_utils,unclear,no
380,clone_logic,unclear,yes
381,estimator_api,unclear,yes
382,param_inspector,unclear,yes
383,validation_utils,unclear,no
384,clone_logic,unclear,yes
385,estimator_api,unclear,yes
386,param_inspector,unclear,yes
387,validation_utils,unclear,yes
388,clone_logic,unclear,yes
389,estimator_api,unclear,yes
390,param_inspector,unclear,yes
391,validation_utils,unclear,no
392,clone_logic,unclear,yes
393,estimator_api,unclear,yes
394,param_inspector,unclear,yes
395,validation_utils,unclear,yes
396,clone_logic,unclear,yes
397,estimator_api,unclear,yes
398,param_inspector,unclear,no
399,validation_utils,unclear,no
